Samples	input	both_kept	fwd_only	rev_only	dropped	host	nonhost	komplexity
ACB.Saliva.100_100K	100000	98352	914	379	355	0	98349	6649
ACB.Saliva.111_100K	100000	98555	536	461	448	0	98554	7147
ACB.Saliva.151_100K	100000	98573	465	332	630	0	98572	8858
ACB.Saliva.17_100K	100000	98784	697	320	199	0	98783	8635
ACB.Saliva.31_100K	100000	98600	739	351	310	0	98599	8306
ACB.StMiMe.15_100K	100000	98101	1301	346	252	0	98100	1602
ACB.StMiMe.18_100K	100000	98560	907	370	163	0	98559	4273
ACB.StMiMe.19_100K	100000	98465	949	329	257	0	98462	1485
ACB.StMiMe.2_100K	100000	98383	782	612	223	0	98378	2009
ACB.StMiMe.8_100K	100000	98219	1220	326	235	0	98212	1671
